OPSKU,Part No,Product,Starting Inventory,Ending Inventory,SoldQty,SubTotal,Tax,ShipCost,ProductCost,Total,Discount,SubtotalAfterDiscount
88882214-0042,0042,2015 Estate Blend Pinot Noir,3114,493,11,495,0,54.4,165,479.65,-69.75,425.25
88882214-0043,0043,2015 Laurelwood Blend Pinot Noir,2672,12,6,174,0,4.44,90,143.64,-34.8,139.2
88882214-0053,0053,2015 Winemaker's Reserve Pinot Noir,422,0,12,720,0,44.61,180,653.61,-111,609
88882214-0059,0059,2015 Flora's Reserve Pinot Noir,406,84,8,800,7.75,77.33,120,835.08,-50,750
88882214-0127,0127,2016 Laurelwood Blend Pinot Noir,7807,3387,16,576,16.65,119.35,240,672.4,-39.6,536.4
88882214-0130,0130,2016 Tuenge Vineyard Pinot Noir,510,219,1,40,0,3.33,15,43.33,0,40
88882214-0131,0131,2016 Tre Figli Vineyard Pinot Noir,412,277,1,40,0,3.33,15,43.33,0,40
88882214-0132,0132,2016 Hendricks Legacy Pinot Noir,687,204,2,80,0,4.44,30,76.44,-8,72
88882214-0135,0135,2016 Willamette Valley Pinot Noir,3288,279,41,1025,6.01,248.41,615,1103.17,-176.25,848.75
88882214-0136,0136,2016 Steve's Reserve Pinot Noir,1371,567,8,480,0,31.25,120,460.25,-51,429
88882214-0137,0137,2016 Flora's Reserve Pinot Noir,454,293,4,400,0,45,60,445,0,400
88882214-0191,0191,2016 Chardonnay,1781,448,5,145,0,4.44,0,139.29,-10.15,134.85
88882214-0193,0193,2017 Rosé of Pinot Gris,130,51,3,54,0,59,30,113,0,54
88882214-0201,0201,Yoga & Wine June | 06/08/2019 10:00AM,8,9,11,165,0,0,0,165,0,165
88882214-0207,0207,2017 Hendricks Legacy Pinot Noir,3852,3200,3,120,0,48.17,45,148.17,-20,100
88882214-0223,0223,2016 Steve's Reserve Pinot Noir MAGNUM,7,9,1,120,0,0,15,90,-30,90
88882214-0247,0247,2018 Pinot Gris,0,665,6,108,0,0,0,96.3,-11.7,96.3
88882214-0248,0248,2018 Rosé of Pinot Gris,0,16,60,1080,0,67.91,600,913.91,-234,846
88882214-0249,0249,2018 Chardonnay Petillant,0,21,13,325,0,0,0,243.75,-81.25,243.75
88882214-0250,0250,Vineyard Walk & Wine | 08/17/2019 10:00AM,0,7,23,380,0,0,0,230,-150,230
88882214-0251,0251,Opal 28 Wine Class | 09/23/2019 5:00PM,0,12,4,100,0,0,0,100,0,100
88882214-0256,0256,Yoga & Wine July | 07/13/2019 10:00AM,0,10,8,120,0,0,0,120,0,120
88882214-0257,0257,Yoga & Wine August | 08/17/2019 10:00AM,0,17,2,30,0,0,0,30,0,30
88882214-0265,0265,"3 Pack - red, white & sparkling",0,36,1,90,0,0,0,63,-27,63
88882214-0270,0270,Holiday Special - 6pk,0,0,1,174,0,0,0,121.8,-52.2,121.8
88882214-0271,0271,Holiday Special - Case,0,0,1,348,0,50,0,293.6,-104.4,243.6
88882214-0272,0272,Yoga & Wine September | 09/14/2019 10:00AM,0,20,0,0,0,0,0,0,0,0
88882214-0273,0273,3rd Annual Harvest Dinner | 09/07/2019 5:30PM,0,14,26,2370,0,0,0,2370,0,2370
88882214-0301,0301,3 Pack - 2017 Laurelwood Pinot Noir,0,11,1,91,0,0,0,68.25,-22.75,68.25
