Location,Product Type,Product,Client Part,Qty,Retail Price,Discount,Price Charged,Refund,Gallons,Alcohol Level,Cost,Brand,Product Group,Product SubGroup
OWS,wine,2016 Willamette Valley Pinot Noir,0135,672,16800,-8400,8400,0,133.1427142,Under 14%,10080,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
OWS,wine,2017 Willamette Valley Pinot Noir,0133,672,16128,-8064,8064,0,133.1427142,Under 14%,10080,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,Collection,12 Pack - 2017 Laurelwood Pinot Noir,0335,1,324,-81,243,223,2.377548468,n/a,0,,Collections; Current Releases; Extraordinary Deals;,Current Releases;
Tasting Room,Collection,12 Pack - 2017 Laurelwood Pinot Noir,0335,18,6012,-1499.4,4512.6,0,42.79587242,n/a,0,,Collections; Current Releases; Extraordinary Deals;,Current Releases;
Tasting Room,Collection,12 Pack - Spring Whites,0341,-1,-219,0,-219,-219,-2.377548468,n/a,0,,Collections; Current Releases; Extraordinary Deals;,Current Releases; Other;
Tasting Room,Collection,12 Pack - Spring Whites,0341,15,3285,-613.2,2671.8,0,35.66322702,n/a,0,,Collections; Current Releases; Extraordinary Deals;,Current Releases; Other;
Tasting Room,Collection,2 Pack - 2016 Steve's & Flora's Reserves,0362,3,480,-88,392,0,1.188774234,n/a,0,,Collections; Current Releases; Featured;,Current Releases;
Tasting Room,Collection,3 Pack - 2016 Estate Pinot Noir,0338,-1,-128,44.8,-83.2,-83.2,-0.594387117,n/a,0,,Collections; Current Releases; Extraordinary Deals; Featured;,Current Releases;
Tasting Room,Collection,3 Pack - 2016 Estate Pinot Noir,0338,19,2432,-428.8,2003.2,0,11.29335522,n/a,0,,Collections; Current Releases; Extraordinary Deals; Featured;,Current Releases;
Tasting Room,Collection,3 Pack - 2017 Laurelwood Pinot Noir,0301,0,0,-13.65,-13.65,-13.65,0,n/a,0,,Collections; Current Releases; Extraordinary Deals;,Current Releases;
Tasting Room,Collection,3 Pack - 2017 Laurelwood Pinot Noir,0301,44,4004,-550.55,3453.45,0,26.15303315,n/a,0,,Collections; Current Releases; Extraordinary Deals;,Current Releases;
Tasting Room,Collection,3 Pack - Chardonnay Bubbles,0339,0,0,0,0,-31.51,0,n/a,0,,Collections; Current Releases; Extraordinary Deals;,Current Releases; Other;
Tasting Room,Collection,3 Pack - Chardonnay Bubbles,0339,45,2855,-345.85,2509.15,0,26.74742027,n/a,0,,Collections; Current Releases; Extraordinary Deals;,Current Releases; Other;
Tasting Room,Collection,3 Pack - Father's Day Special,0353,5,637.5,-82.88,554.62,0,2.971935585,n/a,0,,Collections; Current Releases; Extraordinary Deals;,Current Releases; Current Releases;
Tasting Room,Collection,"3 Pack - red, white & sparkling",0265,4,311.85,-49.67,262.18,0,2.377548468,n/a,0,,Collections; Current Releases; Extraordinary Deals;,Current Releases;
Tasting Room,Collection,3 Pack - Rose' Bubbles,0404,3,225,-30,195,0,1.783161351,n/a,0,,Collections; Current Releases; Extraordinary Deals;,Current Releases; Other;
Tasting Room,Collection,3 Pack - Tre Figli Vineyard Pinot Noir,0329,0,0,0,0,-6.15,0,n/a,0,,Collections; Current Releases; Extraordinary Deals; Pinot Noir;,Current Releases;
Tasting Room,Collection,3 Pack - Tre Figli Vineyard Pinot Noir,0329,6,594,-64.35,529.65,0,3.566322702,n/a,0,,Collections; Current Releases; Extraordinary Deals; Pinot Noir;,Current Releases;
Tasting Room,Collection,6 Pack - 2016 Estate Pinot Noir,0337,-1,-240,84,-156,-156,-1.188774234,n/a,0,,Collections; Current Releases; Extraordinary Deals; Featured;,Current Releases;
Tasting Room,Collection,6 Pack - 2016 Estate Pinot Noir,0337,8,1920,-396,1524,0,9.510193872,n/a,0,,Collections; Current Releases; Extraordinary Deals; Featured;,Current Releases;
Tasting Room,Collection,6 Pack - 2017 Laurelwood Pinot Noir,0334,-1,-173,0,-173,-173,-1.188774234,n/a,0,,Collections; Current Releases; Extraordinary Deals;,Current Releases;
Tasting Room,Collection,6 Pack - 2017 Laurelwood Pinot Noir,0334,22,3871,-472.95,3398.05,0,26.15303315,n/a,0,,Collections; Current Releases; Extraordinary Deals;,Current Releases;
Tasting Room,Collection,6 Pack - 2020 International Rosé  Day Special,0357,0,0,0,0,-30,0,n/a,0,,Collections; Current Releases; Extraordinary Deals; Whites and Rosé;,Current Releases;
Tasting Room,Collection,6 Pack - 2020 International Rosé  Day Special,0357,21,2729.79,-422.5,2307.29,0,24.96425891,n/a,0,,Collections; Current Releases; Extraordinary Deals; Whites and Rosé;,Current Releases;
