Date & Time,Temp ,High Temp ,Low Temp ,Hum,High Hum,Low Hum,Prevailing Wind Direction,High Wind Speed,Wind Chill,Heat Index,Rain ,Heating Degree Days
1/12/2021,49,49,49,94,94,94,SSE,18,45,50,0.03,0.164
1/12/2021,50,50,49,94,94,94,SSE,22,45,50,0.03,0.161
1/12/2021,50,50,50,94,94,94,SSE,27,44,50,0.03,0.16
1/12/2021,50,50,50,94,94,94,SSE,24,44,50,0.02,0.159
1/12/2021,50,50,50,94,95,94,SSE,25,44,50,0.03,0.155
1/12/2021,50,50,50,94,95,94,SSE,25,44,51,0.03,0.153
1/12/2021,50,50,50,95,95,94,SSE,30,45,51,0.03,0.152
1/12/2021,51,51,50,95,95,95,SSE,27,45,51,0.03,0.148
1/12/2021,51,51,51,95,95,95,S,22,46,51,0.02,0.147
1/12/2021,51,51,51,95,95,95,SSE,30,46,52,0.03,0.144
1/12/2021,51,51,51,95,95,95,SSE,27,47,52,0.03,0.144
1/12/2021,51,52,51,95,95,95,SSE,26,46,52,0.03,0.142
1/12/2021,52,52,51,95,95,95,S,31,46,52,0.03,0.14
1/12/2021,52,52,52,95,95,95,SSE,29,45,52,0.03,0.138
1/12/2021,52,52,52,95,95,95,S,29,46,52,0.02,0.136
1/12/2021,52,52,52,95,95,95,S,31,46,52,0.03,0.135
1/12/2021,52,52,52,95,95,95,S,30,46,53,0.03,0.134
1/12/2021,52,52,52,95,95,95,S,28,46,53,0.03,0.132
1/12/2021,52,52,52,95,95,95,S,30,47,53,0.03,0.132
1/12/2021,52,52,52,96,96,95,S,29,47,53,0.03,0.132
1/12/2021,52,52,52,95,96,95,S,27,47,53,0.03,0.131
1/12/2021,52,52,52,96,96,95,S,24,47,53,0.02,0.131
1/12/2021,52,53,52,96,96,96,S,28,46,53,0.03,0.13
1/12/2021,52,53,52,96,96,95,S,24,47,53,0.03,0.13
1/12/2021,53,53,52,96,96,96,S,27,47,53,0.03,0.129
1/12/2021,53,53,53,96,96,96,S,23,48,53,0.03,0.128
1/12/2021,53,53,53,96,96,96,S,22,48,53,0.03,0.127
1/12/2021,53,53,53,96,96,96,S,23,48,54,0.02,0.125
1/12/2021,53,53,53,96,96,96,S,25,49,54,0.03,0.126
1/12/2021,53,53,53,96,96,96,S,22,49,54,0.03,0.124
1/12/2021,53,53,53,96,96,96,S,23,49,54,0.03,0.123
1/12/2021,53,53,53,96,96,96,S,19,50,54,0.02,0.123
1/12/2021,53,53,53,96,96,96,S,19,49,54,0.03,0.122
1/12/2021,54,54,53,96,96,96,S,19,50,54,0.03,0.12
1/12/2021,53,54,53,96,96,96,S,20,50,54,0.03,0.121
1/12/2021,54,54,53,96,96,96,S,20,50,54,0.03,0.119
1/12/2021,54,54,54,96,96,96,S,21,51,54,0.03,0.118
1/12/2021,54,54,54,96,96,96,S,13,52,54,0.03,0.119
1/12/2021,54,54,54,96,96,96,S,17,52,54,0.03,0.117
1/12/2021,54,54,54,96,96,96,S,17,52,54,0.03,0.117
1/12/2021,54,54,54,96,96,96,S,15,52,55,0.03,0.115
1/12/2021,54,54,54,96,96,96,S,12,53,55,0.03,0.112
1/12/2021,54,54,54,96,96,96,S,15,53,55,0.03,0.112
1/12/2021,54,54,54,97,97,96,S,14,53,55,0.03,0.11
1/12/2021,54,54,54,97,97,97,SSE,11,54,55,0.03,0.11
1/12/2021,54,54,54,97,97,96,SSE,10,53,55,0.03,0.109
1/12/2021,54,55,54,97,97,97,SSE,11,53,55,0.03,0.109
1/12/2021,54,55,54,97,97,97,SSE,13,53,55,0.02,0.109
1/12/2021,55,55,54,97,97,97,SSE,11,53,55,0.03,0.107
1/12/2021,55,55,55,97,97,96,SSE,--,53,55,0.02,0.108
1/12/2021,55,55,55,97,97,97,SSE,14,53,55,0.02,0.107
1/12/2021,55,55,55,97,97,97,S,11,54,56,0.03,0.106
1/12/2021,55,55,55,97,97,97,S,11,54,56,0.02,0.106
1/12/2021,55,55,55,97,97,97,S,14,54,56,0.02,0.106
1/12/2021,55,55,55,97,97,97,SSE,12,54,56,0.02,0.103
1/12/2021,55,55,55,97,97,97,SSE,15,54,56,0.02,0.103
1/12/2021,55,55,55,97,97,97,SSE,13,54,56,0.02,0.104
1/12/2021,55,55,55,97,97,97,SSE,13,54,56,0.01,0.102
1/12/2021,55,55,55,96,97,96,S,16,54,56,0.02,0.102
1/12/2021,55,55,55,96,97,96,SSE,21,53,56,0.02,0.101
1/12/2021,55,55,55,96,97,96,SSE,16,53,56,0.01,0.101
1/12/2021,55,55,55,96,96,96,SSE,19,53,56,0.02,0.1
1/12/2021,56,56,55,96,96,96,SSE,17,52,56,0.01,0.099
1/12/2021,56,56,55,96,96,96,SSE,24,51,56,0.02,0.099
1/12/2021,56,56,55,96,96,96,S,22,51,56,0.01,0.099
1/12/2021,56,56,55,97,97,96,SSE,25,52,56,0.01,0.099
1/12/2021,56,56,56,97,97,96,SSE,21,52,56,0.02,0.098
1/12/2021,56,56,56,96,97,96,S,27,52,56,0.01,0.097
1/12/2021,56,56,56,96,96,96,S,22,52,56,0.01,0.096
