Title,Client Part,Qty,Retail Price,Discount,Price Charged,Ship Cost,Sales Tax,Gift Card Deposit,Refunds,Gallons,AlcoholLevel
2015 Estate Blend Pinot Noir,42,10,$450.00 ,($69.75),$380.25 ,$44.07 ,$0.00 ,$0.00 ,$0.00 ,1.9813,Under 14%
2015 Flora's Reserve Pinot Noir,59,8,$800.00 ,($50.00),$750.00 ,$55.33 ,$7.75 ,$0.00 ,$0.00 ,1.585,Under 14%
2015 Laurelwood Blend Pinot Noir,43,6,$174.00 ,($34.80),$139.20 ,$17.77 ,$0.00 ,$0.00 ,$0.00 ,1.1888,Under 14%
2015 Winemaker's Reserve Pinot Noir,53,12,$720.00 ,($111.00),$609.00 ,$44.61 ,$0.00 ,$0.00 ,$0.00 ,2.3775,Under 14%
2016 Chardonnay,191,5,$145.00 ,$0.00 ,$145.00 ,$4.44 ,$0.00 ,$0.00 ,$0.00 ,0.9906,Under 14%
2016 Flora's Reserve Pinot Noir,137,4,$400.00 ,$0.00 ,$400.00 ,$45.00 ,$0.00 ,$0.00 ,$0.00 ,0.7925,Under 14%
2016 Hendricks Legacy Pinot Noir,132,2,$80.00 ,($8.00),$72.00 ,$4.44 ,$0.00 ,$0.00 ,$0.00 ,0.3963,Under 14%
2016 Laurelwood Blend Pinot Noir,127,16,$576.00 ,($39.60),$536.40 ,$124.52 ,$16.65 ,$0.00 ,$0.00 ,3.1701,Under 14%
2016 Steve's Reserve Pinot Noir,136,8,$480.00 ,($51.00),$429.00 ,$31.25 ,$0.00 ,$0.00 ,$0.00 ,1.585,Under 14%
2016 Steve's Reserve Pinot Noir MAGNUM,223,1,$120.00 ,($30.00),$90.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0.3963,Under 14%
2016 Tre Figli Vineyard Pinot Noir,131,1,$40.00 ,$0.00 ,$40.00 ,$3.33 ,$0.00 ,$0.00 ,$0.00 ,0.1981,Under 14%
2016 Tuenge Vineyard Pinot Noir,130,1,$40.00 ,$0.00 ,$40.00 ,$3.33 ,$0.00 ,$0.00 ,$0.00 ,0.1981,Under 14%
2016 Willamette Valley Pinot Noir,135,41,"$1,025.00 ",($162.50),$862.50 ,$213.24 ,$6.94 ,$0.00 ,$0.00 ,8.1233,Under 14%
2017 Hendricks Legacy Pinot Noir,207,3,$120.00 ,($20.00),$100.00 ,$48.17 ,$0.00 ,$0.00 ,$0.00 ,0.5944,Under 14%
2017 Rosé of Pinot Gris,193,1,$18.00 ,$0.00 ,$18.00 ,$39.00 ,$0.00 ,$0.00 ,$0.00 ,0.1981,Under 14%
2018 Chardonnay Petillant,249,13,$325.00 ,($81.25),$243.75 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,2.5757,Under 14%
2018 Pinot Gris,247,6,$108.00 ,($9.00),$99.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1.1888,Under 14%
2018 Rosé of Pinot Gris,248,60,"$1,080.00 ",($234.00),$846.00 ,$87.91 ,$0.00 ,$0.00 ,$0.00 ,11.8877,Under 14%
3 Pack - 2017 Laurelwood Pinot Noir,301,1,$91.00 ,($22.75),$68.25 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,n/a
"3 Pack - red, white & sparkling",265,1,$90.00 ,($27.00),$63.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,n/a
