Title,Client Part,Qty,Retail Price,Discount,Price Charged,Ship Cost,Sales Tax,Gift Card Deposit,Refunds,Gallons,AlcoholLevel
12 Pack - 2017 Laurelwood Pinot Noir,335,8,"$2,736.00 ",($680.40),"$2,055.60 ",$29.09 ,$0.00 ,$0.00 ,$0.00 ,0,n/a
12 Pack - Spring Whites,341,7,"$1,533.00 ",($219.00),"$1,314.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,n/a
2 Pack - 2016 Steve's & Flora's Reserves,362,1,$160.00 ,($24.00),$136.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,n/a
2015 Estate Blend Pinot Noir,42,8,$400.00 ,($15.00),$385.00 ,$80.00 ,$0.00 ,$0.00 ,$0.00 ,1.585,Under 14%
2016 Estate Blend Pinot Noir,129,48,"$2,400.00 ",($112.50),"$2,287.50 ",$158.56 ,$126.57 ,$0.00 ,$0.00 ,9.5102,Under 14%
2016 Laurelwood Blend Pinot Noir,127,112,"$4,032.00 ",($617.40),"$3,414.60 ",$234.38 ,$11.47 ,$0.00 ,$0.00 ,22.1905,Under 14%
2016 Steve's Reserve Pinot Noir,136,11,$660.00 ,($108.00),$552.00 ,$58.95 ,$17.77 ,$0.00 ,$0.00 ,2.1794,Under 14%
2016 Tre Figli Vineyard Pinot Noir,131,12,$480.00 ,($54.00),$426.00 ,$49.40 ,$2.89 ,$0.00 ,$0.00 ,2.3775,Under 14%
2016 Tuenge Vineyard Pinot Noir,130,5,$200.00 ,($10.00),$190.00 ,$36.66 ,$3.70 ,$0.00 ,$0.00 ,0.9906,Under 14%
2016 Winemaker's Reserve Pinot Noir,138,23,"$1,380.00 ",($435.00),$945.00 ,$58.04 ,$14.29 ,$0.00 ,$0.00 ,4.557,Under 14%
2017 Chardonnay,300,53,"$1,855.00 ",($367.50),"$1,487.50 ",$110.41 ,$0.00 ,$0.00 ,$0.00 ,10.5008,Under 14%
2017 Estate Blend Pinot Noir,203,10,$500.00 ,($87.50),$412.50 ,$35.67 ,$6.75 ,$0.00 ,$0.00 ,1.9813,Under 14%
2017 Hendricks Legacy Pinot Noir,207,25,"$1,000.00 ",($78.00),$922.00 ,$103.18 ,$7.63 ,$0.00 ,$0.00 ,4.9532,Under 14%
2017 Steve's Reserve Pinot Noir,254,3,$180.00 ,($30.00),$150.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0.5944,Under 14%
