Date,Followers,Impressions,Reach,Profile Views,Website Clicks,Linkin.Bio Pageviews
15-Feb-21,1617,28,27,4,0,0
14-Feb-21,1616,238,180,8,0,0
13-Feb-21,1614,300,260,4,0,0
12-Feb-21,1613,582,385,17,2,0
11-Feb-21,1611,30,18,10,1,0
10-Feb-21,1608,258,118,18,0,0
9-Feb-21,1599,642,417,36,7,0
8-Feb-21,1588,303,228,9,1,0
7-Feb-21,1588,102,54,4,0,1
6-Feb-21,1590,431,259,17,0,0
5-Feb-21,1589,456,269,9,0,0
4-Feb-21,1588,57,7,10,0,0
3-Feb-21,1588,10,3,3,0,0
2-Feb-21,1586,4,1,1,0,0
1-Feb-21,1586,25,11,6,0,0
31-Jan-21,1586,48,32,4,0,0
30-Jan-21,1586,217,147,4,1,0
29-Jan-21,1585,559,293,15,1,0
28-Jan-21,1581,79,66,9,1,0
27-Jan-21,1581,643,484,9,1,0
26-Jan-21,1580,344,313,8,0,0
25-Jan-21,1580,8,5,2,0,0
24-Jan-21,1580,43,9,4,0,0
23-Jan-21,1579,16,6,6,0,0
22-Jan-21,1579,80,15,13,3,0
21-Jan-21,1577,56,11,4,0,0
20-Jan-21,1576,19,19,0,0,0
19-Jan-21,1575,132,104,3,0,0
18-Jan-21,1576,449,412,3,1,0
17-Jan-21,1576,112,54,6,1,0
16-Jan-21,1576,488,238,11,0,0
15-Jan-21,1575,831,449,22,1,0
14-Jan-21,1573,274,221,6,2,0
13-Jan-21,1574,981,575,8,0,0
12-Jan-21,1575,14,5,4,0,0
11-Jan-21,1575,18,14,1,0,0
10-Jan-21,1576,77,40,6,1,0
9-Jan-21,1576,180,148,10,0,0
8-Jan-21,1577,416,296,13,0,0
7-Jan-21,1577,104,99,9,0,0
6-Jan-21,1578,569,525,5,0,0
5-Jan-21,1579,9,5,3,0,0
4-Jan-21,1577,84,9,16,0,0
3-Jan-21,1578,4,3,1,0,0
2-Jan-21,1578,3,3,2,0,0
1-Jan-21,1579,32,7,6,0,0
31-Dec-20,1579,21,4,5,0,0
30-Dec-20,1579,13,4,4,0,0
29-Dec-20,1580,96,79,7,0,0
28-Dec-20,1579,184,177,6,0,0
27-Dec-20,1579,27,5,7,0,0
26-Dec-20,1577,13,4,4,0,0
25-Dec-20,1575,6,3,4,0,0
24-Dec-20,1576,21,14,3,0,0
23-Dec-20,1576,71,34,5,0,0
22-Dec-20,1574,115,103,2,0,0
21-Dec-20,1573,377,314,5,0,0
20-Dec-20,1573,50,35,5,0,0
19-Dec-20,1572,149,127,4,0,0
18-Dec-20,1572,269,233,15,0,0
17-Dec-20,1571,28,10,7,0,0
16-Dec-20,1571,116,66,7,0,0
15-Dec-20,1570,435,214,21,3,0
14-Dec-20,1569,151,50,10,0,0
13-Dec-20,1569,493,252,12,0,0
12-Dec-20,1569,1062,480,13,1,0
11-Dec-20,1569,792,481,14,2,0
10-Dec-20,1569,510,415,24,10,0
9-Dec-20,1568,234,203,9,0,0
8-Dec-20,1569,118,91,10,0,0
7-Dec-20,1569,507,463,7,0,0
6-Dec-20,1569,98,48,8,1,0
5-Dec-20,1568,391,210,15,3,0
4-Dec-20,1567,792,371,9,0,0
3-Dec-20,1567,42,30,8,0,0
2-Dec-20,1568,195,125,2,0,0
1-Dec-20,1568,34,4,10,0,0
30-Nov-20,1567,51,5,9,0,0
29-Nov-20,1568,195,7,7,0,0
28-Nov-20,1569,19,6,7,1,0
27-Nov-20,1568,11,5,8,0,0
26-Nov-20,1569,3,3,10,0,0
25-Nov-20,1567,52,47,2,0,0
24-Nov-20,1567,214,207,8,0,0
23-Nov-20,1569,88,13,7,0,0
22-Nov-20,1569,43,39,3,0,0
21-Nov-20,1569,177,140,10,2,0
20-Nov-20,1569,394,310,12,0,0
19-Nov-20,1569,520,465,2,0,0
18-Nov-20,1569,27,6,5,1,0
17-Nov-20,1569,46,8,11,1,0
16-Nov-20,1567,13,10,3,0,0
15-Nov-20,1568,48,38,6,0,
